Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
SMO	12.25	1.04790512744573e-06
CDKN2A	-9.876	1.04790512744573e-06
B3GNT7	8.835	1.04790512744573e-06
TMEM132B	8.832	1.04790512744573e-06
AUTS2	12.197	1.04790512744573e-06
WBSCR17	9.602	1.04790512744573e-06
MYCN	12.329	1.04790512744573e-06
GYG2	12.078	1.04790512744573e-06
ADCY1	9.826	1.04790512744573e-06
TLE1	11.924	1.04790512744573e-06
TDGF1P3	11.924	1.04790512744573e-06
PCDH18	11.841	1.04790512744573e-06
ESRP1	9.414	1.04790512744573e-06
HEPH	11.971	1.04790512744573e-06
RIMS3	8.61	1.04790512744573e-06
ZFP42	8.253	1.04790512744573e-06
DCHS1	11.716	1.04790512744573e-06
PCYT1B	8.597	1.04790512744573e-06
NYNRIN	11.621	1.05603499402272e-06
COL6A2	12.038	1.05603499402272e-06
TBX3	-8.079	1.05603499402272e-06
ATP8B2	8.534	1.05603499402272e-06
CACHD1	11.568	1.05603499402272e-06
PLEKHG4B	9.979	1.05603499402272e-06
PLXDC2	8.803	1.08041128517251e-06
BEND4	11.624	1.08041128517251e-06
LINGO1	11.884	1.08041128517251e-06
NELL2	11.642	1.08041128517251e-06
ZNF423	11.961	1.08924747678719e-06
ZNF827	8.815	1.08924747678719e-06
MYPN	-8.797	1.10069296224896e-06
PHF21B	9.243	1.12262604496658e-06
TRIM29	-7.924	1.29622712046726e-06
PSCA	-11.784	1.29622712046726e-06
FAM124A	8.293	1.42784598906342e-06
TENM4	8.742	1.42784598906342e-06
NNMT	-11.93	1.42784598906342e-06
ZIC3	7.902	1.45201283446147e-06
LARGE2	8.468	1.45201283446147e-06
GRPR	12.338	1.58412594539396e-06
TSPAN8	-11.392	1.58412594539396e-06
TUB	11.325	1.58412594539396e-06
CYB5R2	11.362	1.61054425979668e-06
ARMCX2	11.289	1.633734627701e-06
CAMKV	11.285	1.81301194613674e-06
SYT6	11.572	1.83978264018669e-06
LRRC61	-7.692	1.84141591167417e-06
HR	-11.239	1.9574681417659e-06
GRM4	9.431	1.9574681417659e-06
IGFBP4	12.414	2.07016357443599e-06
CGNL1	12.018	2.17241062255945e-06
P2RY1	11.433	2.17241062255945e-06
TRO	11.218	2.17241062255945e-06
CDKN2C	-11.224	2.17241062255945e-06
NR2F1	-11.201	2.17241062255945e-06
PLP1	8.051	2.17241062255945e-06
NID1	8.325	2.17241062255945e-06
CYB5A	7.862	2.26475239267417e-06
CASP4	-8.99	2.32620019647287e-06
SHANK2	7.813	2.32620019647287e-06
HAPLN3	11.219	2.32620019647287e-06
MEGF10	11.501	2.32620019647287e-06
ROR1	8.15	2.32620019647287e-06
RGMA	7.244	2.48034068063512e-06
MAGED4B	11.131	2.56725048436992e-06
XYLT1	11.097	2.81490906799195e-06
PTGIS	7.27	2.82717073157875e-06
ETV1	8.439	2.82717073157875e-06
FGFR2	8.673	2.82717073157875e-06
SPINT1	8.529	2.91563841379608e-06
MYEF2	11.116	2.91563841379608e-06
SDC2	11.162	2.97265354488553e-06
DPYSL3	14.901	3.00609416692399e-06
MSI1	7.922	3.00609416692399e-06
WASF3	11.054	3.01157800946874e-06
MMP16	11.064	3.01157800946874e-06
NR2F2	-11.07	3.049711705065e-06
MUC3A	11.779	3.04990420467409e-06
JPH4	11.76	3.09382013881532e-06
OLR1	-9.597	3.20547512892376e-06
COL26A1	11.615	3.20547512892376e-06
PGBD5	8.748	3.20547512892376e-06
MSLN	-8.483	3.20547512892376e-06
MIR302B	11.035	3.20547512892376e-06
ADAMTS7	6.944	3.24497406312738e-06
PDK4	-8.851	3.24497406312738e-06
C8ORF4	-11.064	3.30536836624424e-06
CRABP1	11.989	3.4876121194179e-06
LINC00473	-9.245	3.56773017824542e-06
KLRC2	-11.043	3.56946254626657e-06
B3GAT1	8.858	4.01792923940707e-06
VCAN	14.796	4.03681787750906e-06
SRC	10.949	4.09404373401927e-06
TMEFF1	10.959	4.19352023619544e-06
TUNAR	8.615	4.19352023619544e-06
PRG4	-7.918	4.39352205398408e-06
GLDC	11.819	4.81567118376371e-06
ADCYAP1R1	8.467	5.54290545538965e-06
MMP14	6.622	5.54290545538965e-06
WSCD1	6.944	5.54290545538965e-06
IRS1	7.255	5.54290545538965e-06
EDIL3	11.186	5.54290545538965e-06
IGSF9B	10.836	5.54290545538965e-06
GPC6	10.824	5.61468812375788e-06
GRIK5	8.91	5.62890348804114e-06
MFGE8	12.959	5.62890348804114e-06
CADM2	11.025	5.63735193809423e-06
ST6GAL1	7.007	5.67989303301709e-06
RGS5	7.3	5.67989303301709e-06
FEZF1	10.813	5.72210728227099e-06
BCL11A	8.537	5.75734716357032e-06
CNN3	12.707	5.8468690447044e-06
COL14A1	8.423	5.8468690447044e-06
KDR	12.825	5.8576992200479e-06
OLFML3	10.953	5.91922118393029e-06
SERPINB5	-9.065	5.95349065365071e-06
RNF144A	8.931	5.95349065365071e-06
ACTN3	10.734	5.95349065365071e-06
VANGL2	13.036	5.98331143692385e-06
SLC7A3	13.051	6.00913190586422e-06
TDGF1	14.021	6.0187606217309e-06
RIPOR2	10.751	6.0187606217309e-06
DZIP1	8.169	6.0187606217309e-06
CERS4	10.836	6.0187606217309e-06
TMEM178B	11.345	6.0187606217309e-06
IRX2	10.773	6.39967430928127e-06
UCHL1	13.718	6.40688525750853e-06
ADA2	8.55	6.40688525750853e-06
LINC00678	6.888	6.40688525750853e-06
CCND2	13.184	6.40688525750853e-06
SPARC	12.633	6.40688525750853e-06
SAMD11	-8.467	6.43468994765639e-06
GRID2	11.722	6.49229375170827e-06
LIN28B	8.844	6.69292918197687e-06
SCN8A	7.575	7.02342361538169e-06
ZDHHC22	8.491	7.02342361538169e-06
SLPI	-11.158	7.02342361538169e-06
KCNQ2	8.905	7.29363592545023e-06
CLDN6	14.136	7.29558879834249e-06
TNS4	-6.41	7.29573761656052e-06
SALL2	13.888	7.33231015700458e-06
THBS2	10.669	7.55272389194589e-06
TFAP2A	-6.727	7.64980068593247e-06
KLHDC7A	10.659	7.64980068593247e-06
ALPL	12.993	7.65709983160906e-06
ZSCAN18	7.026	7.79230375086175e-06
SDK1	11.187	7.79230375086175e-06
RPS6KA2	10.677	7.79230375086175e-06
GGT7	10.643	7.79230375086175e-06
TMPRSS3	-8.707	7.79230375086175e-06
CACNG7	11.03	7.79230375086175e-06
LDB2	11.152	7.79230375086175e-06
PRR36	9.075	7.79230375086175e-06
UGT8	7.569	7.79230375086175e-06
EMB	11.49	7.80597129240042e-06
GPC3	10.661	7.89695086876285e-06
FREM2	9.413	7.90799633487331e-06
CACNA2D2	6.725	8.11485047128875e-06
RYR1	11.111	8.27210579837415e-06
SEPT3	6.525	8.42621578172234e-06
HSPA1A	-13.766	8.62021745841866e-06
TMEM98	8.551	8.62021745841866e-06
NAP1L3	10.759	8.62021745841866e-06
RAB3B	7.076	8.65374969475983e-06
LTBP1	7.047	8.69915840348196e-06
ZIK1	7.404	8.70140039656332e-06
PRDM14	7.196	9.43185512502705e-06
CELF2	10.768	9.45979547599049e-06
CACNA1B	7.48	9.46269821517491e-06
ADAMTS19	10.844	9.5038544242521e-06
KNDC1	10.536	9.85637306993879e-06
TIAM1	10.543	9.89638469406527e-06
C1ORF21	10.544	9.94848933862936e-06
BCAM	7.841	1.01768119474681e-05
PITX1	-8.417	1.0252367255961e-05
PCDH11X	11.338	1.04533725375813e-05
AKAP2	6.422	1.04533725375813e-05
UNC5D	12.943	1.04533725375813e-05
SLC22A17	10.941	1.04533725375813e-05
RIPOR2	7.425	1.06365181964736e-05
UNC13A	6.963	1.0833561852217e-05
LCK	6.609	1.11910326417699e-05
SFRP1	13.748	1.14194896850195e-05
FAM171B	11.145	1.14194896850195e-05
PRSS21	-8.742	1.15582993747951e-05
C14ORF132	8.614	1.15582993747951e-05
PRSS21	-8.742	1.15704581438353e-05
ADAM19	7.332	1.163493622145e-05
ADD2	7.155	1.163493622145e-05
PLPPR3	7.769	1.16546468624218e-05
MFAP2	11.636	1.16546468624218e-05
DTX3	10.527	1.18111492195432e-05
MT1G	11.121	1.19777816140087e-05
GPRC5B	7.015	1.20265825150471e-05
KIT	8.645	1.24260823397297e-05
RAB27B	-10.729	1.24260823397297e-05
RAPGEF5	11.927	1.24260823397297e-05
GLP2R	-10.691	1.24260823397297e-05
KRT80	-10.74	1.24260823397297e-05
ANXA8	-8.147	1.24260823397297e-05
PRODH	6.648	1.24260823397297e-05
FBN3	9.308	1.24260823397297e-05
LRRN1	10.902	1.24772662541473e-05
TDRD9	-10.553	1.24982017815398e-05
OLFM2	10.989	1.24982017815398e-05
DUXAP8	-6.091	1.25544235835914e-05
FCGRT	10.598	1.25544235835914e-05
SNRPN	11.563	1.25544235835914e-05
KLHL1	-12.588	1.28610572573003e-05
IDO1	10.489	1.28610572573003e-05
ATP8A2	11.107	1.28610572573003e-05
SLC12A3	-12.723	1.33026485740765e-05
MGAT3	10.419	1.34009061873046e-05
MISP	-6.618	1.34068635959325e-05
TP53I11	7.121	1.34068635959325e-05
MFAP5	-10.529	1.34068635959325e-05
VWA1	10.599	1.34423117171965e-05
ATP1A3	10.947	1.34937701927466e-05
TEK	10.391	1.34937701927466e-05
CFH	-11.476	1.34937701927466e-05
POU5F1	10.52	1.34937701927466e-05
POU5F1	10.52	1.34937701927466e-05
TET1	13.375	1.35061393907251e-05
DSC2	7.454	1.3606143224388e-05
PLCH1	10.525	1.3606143224388e-05
KCNMB4	7.244	1.37548060418292e-05
ZNF608	10.542	1.38794712505955e-05
DIRAS1	10.388	1.38794712505955e-05
PRUNE2	10.522	1.38794712505955e-05
SALL1	9.013	1.38794712505955e-05
NFATC4	10.644	1.38794712505955e-05
CAPN5	6.773	1.38794712505955e-05
TRPC4	10.606	1.38794712505955e-05
APELA	7.231	1.46823163505252e-05
SH3BP1	6.654	1.46823163505252e-05
TUBB2B	14.315	1.46823163505252e-05
POU5F1	11.276	1.49665912858663e-05
POU5F1	11.276	1.49665912858663e-05
SCN4A	8.203	1.53742526982345e-05
ADGRL2	10.652	1.5414883157896e-05
PALD1	7.61	1.58831927455789e-05
DGKK	10.507	1.58898286480153e-05
PTGS2	-8.241	1.58898286480153e-05
PDZD4	10.792	1.58898286480153e-05
SEMA5B	10.343	1.58898286480153e-05
IGSF9	10.557	1.58898286480153e-05
ZNF90	7.798	1.58898286480153e-05
ZNF516	6.714	1.60050110055445e-05
EYA4	-12.808	1.62646961349448e-05
PTPRD	10.591	1.64219087123862e-05
PTPRD	10.591	1.64219087123862e-05
KLF13	-10.322	1.70066430095221e-05
ACTA1	6.256	1.71488949325455e-05
CGA	-7.655	1.71687625276447e-05
MARCKS	11.079	1.73068819526314e-05
UBE2L6	10.302	1.73068819526314e-05
SLC8A1	10.774	1.76907413452434e-05
FZD10-AS1	-6.075	1.76907413452434e-05
KIF5A	8.049	1.82938455104272e-05
KRT17	-10.027	1.83121241916303e-05
MMP2	7.298	1.8381854428105e-05
VRTN	9.829	1.84736344907552e-05
OTX2	10.315	1.86654003645101e-05
JAKMIP2	8.048	1.86654003645101e-05
SPRY4	7.003	1.93591814943801e-05
CREG2	-5.775	1.95787328002513e-05
VAT1L	10.761	1.95787328002513e-05
FAXC	10.269	2.04316065009245e-05
SLC17A9	10.365	2.07395561359293e-05
AXIN2	7.951	2.08713501231872e-05
HOXC10	-10.781	2.10119421999982e-05
FOXD3	10.265	2.14946336455358e-05
ATP1A2	7.661	2.15199636421592e-05
NLGN4X	9.946	2.19987820917139e-05
CPXM1	10.89	2.19987820917139e-05
EDNRB	7.942	2.24961106086374e-05
LY6K	-10.652	2.25975702988441e-05
TUBB4A	7.116	2.40016303741212e-05
EHD3	7.104	2.41343532368343e-05
DDX25	10.683	2.41343532368343e-05
KLRK1	-7.722	2.43468969791211e-05
FOLR1	-9.917	2.47257202638263e-05
FBXL7	10.261	2.47257202638263e-05
CYYR1	10.316	2.54478288520089e-05
GAL3ST3	7.894	2.59668934324222e-05
NPTX2	10.213	2.59668934324222e-05
PDZRN3	10.256	2.59706516069985e-05
RASGEF1A	7.65	2.6170344829648e-05
FOXD3-AS1	10.717	2.6170344829648e-05
CAT	-6.924	2.6170344829648e-05
CARD11	10.604	2.67319217064485e-05
TMEM132D	10.208	2.70912790808268e-05
RASL11B	8.303	2.71943112173654e-05
LINC00599	10.694	2.71943112173654e-05
C14ORF37	7.14	2.71943112173654e-05
P3H3	6.864	2.79396170498882e-05
CFB	-7.163	2.86289497974862e-05
CRMP1	6.356	2.89343933180147e-05
ADAMTS12	10.269	2.89343933180147e-05
GAREM2	10.384	3.00299630256544e-05
TCF7L1	6.339	3.08102036317879e-05
OGDHL	8.028	3.08548278087584e-05
CACNA1H	8.896	3.12174007366327e-05
COL11A1	10.27	3.12174007366327e-05
SEMA6B	6.909	3.12174007366327e-05
FOXC1	-7.508	3.16745813012345e-05
TRIM27	-5.925	3.20113268110687e-05
FBLN2	10.824	3.20332074132569e-05
FLNC	10.309	3.2489740696107e-05
SATB1	8.291	3.2489740696107e-05
GATA2	-6.302	3.26749168423675e-05
FNDC10	8.013	3.26749168423675e-05
NOV	-5.927	3.39296590729584e-05
KIF5C	8.207	3.55965875281353e-05
ZNF521	10.204	3.56257653255114e-05
HLA-A	-5.933	3.66723891374463e-05
ZFHX2	5.503	3.66723891374463e-05
JAKMIP2-AS1	10.407	3.71041706667081e-05
ZNF551	7.394	3.71041706667081e-05
ANK2	7.418	3.73956974485046e-05
DPPA4	9.216	3.74422577027059e-05
CNKSR2	10.179	3.74422577027059e-05
KIF1A	9.422	3.78180744679462e-05
SOX11	8.164	3.80280532627614e-05
PIK3CD	5.901	3.97812986564205e-05
SV2A	6.491	3.97849756330491e-05
BRINP1	10.099	3.98933851485771e-05
FEZF1-AS1	10.085	4.18340280588289e-05
GABRQ	10.164	4.21905559104367e-05
EFS	10.527	4.33945538335779e-05
C1ORF106	5.957	4.36056443168825e-05
AKR1C3	-5.566	4.37568181332519e-05
TM4SF1	-10.462	4.37568181332519e-05
CERS6	10.129	4.40969095476972e-05
FAT3	10.468	4.40969095476972e-05
FAT3	10.468	4.40969095476972e-05
IGFBP2	10.946	4.42690758777017e-05
MIR568	-6.38	4.45774402200716e-05
ADAMTS20	10.077	4.50779011242054e-05
FEZ1	10.067	4.64569311559306e-05
IRF6	8.026	4.69099945002104e-05
STC1	5.899	4.78645357791724e-05
ASTN1	9.969	4.89482077315595e-05
AASS	9.329	4.91016390828061e-05
FOXH1	6.568	4.92701148531139e-05
F2R	6.037	4.92701148531139e-05
ZNF704	7.265	4.93127239830701e-05
MIAT	8.594	5.14036252421806e-05
HCN4	10.056	5.14036252421806e-05
FAM198A	10.451	5.14036252421806e-05
SYT2	6.249	5.14036252421806e-05
TSPAN5	7.765	5.17652678674765e-05
HSD11B2	7.139	5.25473373863579e-05
CGN	5.798	5.30920356703695e-05
IGLON5	6.591	5.30920356703695e-05
ST6GAL2	8.706	5.52426923548386e-05
SYT1	6.689	5.54723938292853e-05
ACSS3	10.135	5.54723938292853e-05
KCNG3	10.75	5.5537418496472e-05
RFLNB	7.29	5.63321987595954e-05
B4GALNT3	9.913	5.63321987595954e-05
BMP5	-8.162	5.63321987595954e-05
SNTB1	8.072	5.64943412699404e-05
CXCL12	10.005	5.64943412699404e-05
SOCS1	7.753	5.66284440925606e-05
FXYD6	6.876	5.69497559555039e-05
ST6GALNAC3	9.858	5.73227886487225e-05
PTPRG	8.66	5.73227886487225e-05
SLAIN1	10.126	5.74151731793611e-05
NRXN1	7.685	5.77656847510996e-05
S100P	-11.633	5.89875434983763e-05
CXCR4	-5.719	5.93263217107374e-05
EPHX3	10.056	5.94124035544918e-05
AGPAT1	6.73	5.94685045313141e-05
ADAM23	10.053	5.97889755575706e-05
ELMO1	10.475	6.00112551411268e-05
ARID5B	-5.724	6.09034663107902e-05
RMST	10.819	6.09034663107902e-05
PCDHGB4	9.793	6.09034663107902e-05
GREB1L	-5.85	6.14309679648144e-05
ZNF518B	9.979	6.14309679648144e-05
SLFN11	-6.328	6.15894197684384e-05
XIST	-8.106	6.15894197684384e-05
TEX15	10.061	6.20790591116144e-05
SOX3	10.168	6.20790591116144e-05
GALNT3	10.471	6.23647369886306e-05
PRSS8	6.266	6.2902722423071e-05
SYN3	7.209	6.37841943138091e-05
ARHGAP8	6.091	6.39759180872469e-05
FAM131B	8.24	6.40774946007992e-05
USP44	6.752	6.44537909189115e-05
SALL3	9.817	6.53708207617602e-05
SALL3	9.817	6.53708207617602e-05
SULF2	6.827	6.63897410113388e-05
ADGRL3	9.945	6.66137282283061e-05
TRIL	9.598	6.72066619521526e-05
POU5F1	10.476	6.7595308127009e-05
POU5F1	10.476	6.7595308127009e-05
COCH	9.879	6.7595308127009e-05
GPC2	5.845	6.84562068045262e-05
SESN3	6.968	6.8657556378946e-05
HMCN1	6.838	6.8657556378946e-05
TOX3	9.949	7.06380858537465e-05
TRIB2	7.469	7.06380858537465e-05
SMIM3	9.646	7.26774693180019e-05
TSHZ3	9.594	7.35433691079362e-05
WNK3	7.43	7.35433691079362e-05
N4BP3	5.476	7.48111220380084e-05
ANOS1	9.844	7.49445618069346e-05
THY1	9.276	7.55745448974614e-05
KCNG1	9.938	7.55745448974614e-05
HS3ST3B1	7.688	7.56873238172764e-05
PCDHB5	10.302	7.68659215602542e-05
BCAT1	8.774	7.68659215602542e-05
SCN5A	9.922	7.68659215602542e-05
ZSCAN10	8.454	7.7085417436685e-05
SORBS1	5.763	7.7085417436685e-05
SHROOM2	10.297	7.76964052092993e-05
GATM	9.559	7.7731442667894e-05
GNAO1	5.719	7.83138419545835e-05
